module,class_name,node_id,iso_class,iso_node_id
nodes_model_downscale,PatchModelAddDownscale,PatchModelAddDownscale,PatchModelAddDownscale_ISO,PatchModelAddDownscale_ISO
nodes_morphology,Morphology,Morphology,Morphology_ISO,Morphology_ISO
nodes_morphology,ImageRGBToYUV,ImageRGBToYUV,ImageRGBToYUV_ISO,ImageRGBToYUV_ISO
nodes_morphology,ImageYUVToRGB,ImageYUVToRGB,ImageYUVToRGB_ISO,ImageYUVToRGB_ISO
nodes_nop,wanBlockSwap,wanBlockSwap,wanBlockSwap_ISO,wanBlockSwap_ISO
nodes_optimalsteps,OptimalStepsScheduler,OptimalStepsScheduler,OptimalStepsScheduler_ISO,OptimalStepsScheduler_ISO
nodes_pag,PerturbedAttentionGuidance,PerturbedAttentionGuidance,PerturbedAttentionGuidance_ISO,PerturbedAttentionGuidance_ISO
nodes_perpneg,PerpNeg,PerpNeg,PerpNeg_ISO,PerpNeg_ISO
nodes_perpneg,PerpNegGuider,PerpNegGuider,PerpNegGuider_ISO,PerpNegGuider_ISO
nodes_photomaker,PhotoMakerLoader,PhotoMakerLoader,PhotoMakerLoader_ISO,PhotoMakerLoader_ISO
nodes_photomaker,PhotoMakerEncode,PhotoMakerEncode,PhotoMakerEncode_ISO,PhotoMakerEncode_ISO
nodes_pixart,CLIPTextEncodePixArtAlpha,CLIPTextEncodePixArtAlpha,CLIPTextEncodePixArtAlpha_ISO,CLIPTextEncodePixArtAlpha_ISO
nodes_post_processing,Blend,ImageBlend,Blend_ISO,ImageBlend_ISO
nodes_post_processing,Blur,ImageBlur,Blur_ISO,ImageBlur_ISO
nodes_post_processing,Quantize,ImageQuantize,Quantize_ISO,ImageQuantize_ISO
nodes_post_processing,Sharpen,ImageSharpen,Sharpen_ISO,ImageSharpen_ISO
nodes_post_processing,ImageScaleToTotalPixels,ImageScaleToTotalPixels,ImageScaleToTotalPixels_ISO,ImageScaleToTotalPixels_ISO
nodes_primitive,String,PrimitiveString,String_ISO,PrimitiveString_ISO
nodes_primitive,StringMultiline,PrimitiveStringMultiline,StringMultiline_ISO,PrimitiveStringMultiline_ISO
nodes_primitive,Int,PrimitiveInt,Int_ISO,PrimitiveInt_ISO
nodes_primitive,Float,PrimitiveFloat,Float_ISO,PrimitiveFloat_ISO
nodes_primitive,Boolean,PrimitiveBoolean,Boolean_ISO,PrimitiveBoolean_ISO
nodes_qwen,TextEncodeQwenImageEdit,TextEncodeQwenImageEdit,TextEncodeQwenImageEdit_ISO,TextEncodeQwenImageEdit_ISO
nodes_qwen,TextEncodeQwenImageEditPlus,TextEncodeQwenImageEditPlus,TextEncodeQwenImageEditPlus_ISO,TextEncodeQwenImageEditPlus_ISO
nodes_rebatch,LatentRebatch,RebatchLatents,LatentRebatch_ISO,RebatchLatents_ISO
nodes_rebatch,ImageRebatch,RebatchImages,ImageRebatch_ISO,RebatchImages_ISO
nodes_rope,ScaleROPE,ScaleROPE,ScaleROPE_ISO,ScaleROPE_ISO
nodes_sag,SelfAttentionGuidance,SelfAttentionGuidance,SelfAttentionGuidance_ISO,SelfAttentionGuidance_ISO
nodes_sd3,TripleCLIPLoader,TripleCLIPLoader,TripleCLIPLoader_ISO,TripleCLIPLoader_ISO
nodes_sd3,EmptySD3LatentImage,EmptySD3LatentImage,EmptySD3LatentImage_ISO,EmptySD3LatentImage_ISO
nodes_sd3,CLIPTextEncodeSD3,CLIPTextEncodeSD3,CLIPTextEncodeSD3_ISO,CLIPTextEncodeSD3_ISO
nodes_sd3,ControlNetApplySD3,ControlNetApplySD3,ControlNetApplySD3_ISO,ControlNetApplySD3_ISO
nodes_sd3,SkipLayerGuidanceSD3,SkipLayerGuidanceSD3,SkipLayerGuidanceSD3_ISO,SkipLayerGuidanceSD3_ISO
nodes_sdupscale,SD_4XUpscale_Conditioning,SD_4XUpscale_Conditioning,SD_4XUpscale_Conditioning_ISO,SD_4XUpscale_Conditioning_ISO
nodes_slg,SkipLayerGuidanceDiT,SkipLayerGuidanceDiT,SkipLayerGuidanceDiT_ISO,SkipLayerGuidanceDiT_ISO
nodes_slg,SkipLayerGuidanceDiTSimple,SkipLayerGuidanceDiTSimple,SkipLayerGuidanceDiTSimple_ISO,SkipLayerGuidanceDiTSimple_ISO
nodes_stable3d,StableZero123_Conditioning,StableZero123_Conditioning,StableZero123_Conditioning_ISO,StableZero123_Conditioning_ISO
nodes_stable3d,StableZero123_Conditioning_Batched,StableZero123_Conditioning_Batched,StableZero123_Conditioning_Batched_ISO,StableZero123_Conditioning_Batched_ISO
nodes_stable3d,SV3D_Conditioning,SV3D_Conditioning,SV3D_Conditioning_ISO,SV3D_Conditioning_ISO
nodes_stable_cascade,StableCascade_EmptyLatentImage,StableCascade_EmptyLatentImage,StableCascade_EmptyLatentImage_ISO,StableCascade_EmptyLatentImage_ISO
nodes_stable_cascade,StableCascade_StageC_VAEEncode,StableCascade_StageC_VAEEncode,StableCascade_StageC_VAEEncode_ISO,StableCascade_StageC_VAEEncode_ISO
nodes_stable_cascade,StableCascade_StageB_Conditioning,StableCascade_StageB_Conditioning,StableCascade_StageB_Conditioning_ISO,StableCascade_StageB_Conditioning_ISO
nodes_stable_cascade,StableCascade_SuperResolutionControlnet,StableCascade_SuperResolutionControlnet,StableCascade_SuperResolutionControlnet_ISO,StableCascade_SuperResolutionControlnet_ISO
nodes_string,StringConcatenate,StringConcatenate,StringConcatenate_ISO,StringConcatenate_ISO
nodes_string,StringSubstring,StringSubstring,StringSubstring_ISO,StringSubstring_ISO
nodes_string,StringLength,StringLength,StringLength_ISO,StringLength_ISO
nodes_string,CaseConverter,CaseConverter,CaseConverter_ISO,CaseConverter_ISO
nodes_string,StringTrim,StringTrim,StringTrim_ISO,StringTrim_ISO
nodes_string,StringReplace,StringReplace,StringReplace_ISO,StringReplace_ISO
nodes_string,StringContains,StringContains,StringContains_ISO,StringContains_ISO
nodes_string,StringCompare,StringCompare,StringCompare_ISO,StringCompare_ISO
nodes_string,RegexMatch,RegexMatch,RegexMatch_ISO,RegexMatch_ISO
nodes_string,RegexExtract,RegexExtract,RegexExtract_ISO,RegexExtract_ISO
nodes_string,RegexReplace,RegexReplace,RegexReplace_ISO,RegexReplace_ISO
nodes_tcfg,TCFG,TCFG,TCFG_ISO,TCFG_ISO
nodes_tomesd,TomePatchModel,TomePatchModel,TomePatchModel_ISO,TomePatchModel_ISO
nodes_torch_compile,TorchCompileModel,TorchCompileModel,TorchCompileModel_ISO,TorchCompileModel_ISO
nodes_train,TrainLoraNode,TrainLoraNode,TrainLoraNode_ISO,TrainLoraNode_ISO
nodes_train,LoraModelLoader,LoraModelLoader,LoraModelLoader_ISO,LoraModelLoader_ISO
nodes_train,SaveLoRA,SaveLoRA,SaveLoRA_ISO,SaveLoRA_ISO
nodes_train,LossGraphNode,LossGraphNode,LossGraphNode_ISO,LossGraphNode_ISO
nodes_upscale_model,UpscaleModelLoader,UpscaleModelLoader,UpscaleModelLoader_ISO,UpscaleModelLoader_ISO
nodes_upscale_model,ImageUpscaleWithModel,ImageUpscaleWithModel,ImageUpscaleWithModel_ISO,ImageUpscaleWithModel_ISO
nodes_video,SaveWEBM,SaveWEBM,SaveWEBM_ISO,SaveWEBM_ISO
nodes_video,SaveVideo,SaveVideo,SaveVideo_ISO,SaveVideo_ISO
nodes_video,CreateVideo,CreateVideo,CreateVideo_ISO,CreateVideo_ISO
nodes_video,GetVideoComponents,GetVideoComponents,GetVideoComponents_ISO,GetVideoComponents_ISO
nodes_video,LoadVideo,LoadVideo,LoadVideo_ISO,LoadVideo_ISO
nodes_wan,WanImageToVideo,WanImageToVideo,WanImageToVideo_ISO,WanImageToVideo_ISO
nodes_wan,WanFunControlToVideo,WanFunControlToVideo,WanFunControlToVideo_ISO,WanFunControlToVideo_ISO
nodes_wan,Wan22FunControlToVideo,Wan22FunControlToVideo,Wan22FunControlToVideo_ISO,Wan22FunControlToVideo_ISO
nodes_wan,WanFirstLastFrameToVideo,WanFirstLastFrameToVideo,WanFirstLastFrameToVideo_ISO,WanFirstLastFrameToVideo_ISO
nodes_wan,WanFunInpaintToVideo,WanFunInpaintToVideo,WanFunInpaintToVideo_ISO,WanFunInpaintToVideo_ISO
nodes_wan,WanVaceToVideo,WanVaceToVideo,WanVaceToVideo_ISO,WanVaceToVideo_ISO
nodes_wan,TrimVideoLatent,TrimVideoLatent,TrimVideoLatent_ISO,TrimVideoLatent_ISO
nodes_wan,WanCameraImageToVideo,WanCameraImageToVideo,WanCameraImageToVideo_ISO,WanCameraImageToVideo_ISO
nodes_wan,WanPhantomSubjectToVideo,WanPhantomSubjectToVideo,WanPhantomSubjectToVideo_ISO,WanPhantomSubjectToVideo_ISO
nodes_wan,WanTrackToVideo,WanTrackToVideo,WanTrackToVideo_ISO,WanTrackToVideo_ISO
nodes_wan,WanSoundImageToVideo,WanSoundImageToVideo,WanSoundImageToVideo_ISO,WanSoundImageToVideo_ISO
nodes_wan,WanSoundImageToVideoExtend,WanSoundImageToVideoExtend,WanSoundImageToVideoExtend_ISO,WanSoundImageToVideoExtend_ISO
nodes_wan,WanHuMoImageToVideo,WanHuMoImageToVideo,WanHuMoImageToVideo_ISO,WanHuMoImageToVideo_ISO
nodes_wan,WanAnimateToVideo,WanAnimateToVideo,WanAnimateToVideo_ISO,WanAnimateToVideo_ISO
nodes_wan,Wan22ImageToVideoLatent,Wan22ImageToVideoLatent,Wan22ImageToVideoLatent_ISO,Wan22ImageToVideoLatent_ISO
